x,y
-3.0,-6051.321423316674
-2.793103448275862,-5633.428797047215
-2.586206896551724,-5218.096434828148
-2.3793103448275863,-4800.140351873866
-2.1724137931034484,-4382.166569124322
-1.9655172413793103,-3966.7221353201057
-1.7586206896551724,-3546.097333373972
-1.5517241379310345,-3130.1862366725127
-1.3448275862068966,-2712.7641891922435
-1.1379310344827587,-2297.0468644964594
-0.9310344827586206,-1878.5924176518643
-0.7241379310344827,-1461.3373437933517
-0.5172413793103448,-1042.001569276243
-0.31034482758620685,-624.5396357857802
-0.10344827586206895,-209.03806621880165
0.10344827586206895,210.57681609459974
0.31034482758620685,628.1654057175723
0.5172413793103448,1044.8229635688735
0.7241379310344827,1463.0872478893532
0.9310344827586206,1878.94185162108
1.137931034482759,2299.4783415968013
1.3448275862068968,2717.353081894534
1.5517241379310347,3135.1391045284404
1.7586206896551726,3551.377611219008
1.9655172413793105,3971.245716585158
2.1724137931034484,4390.571005235919
2.3793103448275863,4806.383359988797
2.586206896551724,5225.600848418586
2.793103448275862,5645.121084082104
3.0,6062.718553057577
